section,month,visits,checkout_begin,forms,phone,checkout_cr_pct,forms_cr_pct,phone_cr_pct
furshetmenu,2025-03,28.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,2025-04,5.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,2025-05,11.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,2025-06,9.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,2025-07,5.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,2025-08,3.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,2025-09,5.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,2025-10,9.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,2025-11,6.0,0.0,0.0,1.0,0.0,0.0,16.67
furshetmenu,2025-12,14.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,2026-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,2026-02,6.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,2026-03,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,2025-03,4.0,0.0,1.0,0.0,0.0,25.0,0.0
hot,2025-04,6.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,2025-05,5.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,2025-06,3.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,2025-07,4.0,0.0,0.0,1.0,0.0,0.0,25.0
hot,2025-08,5.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,2025-09,4.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,2025-10,7.0,0.0,1.0,0.0,0.0,14.29,0.0
hot,2025-11,4.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,2025-12,11.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,2026-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,2026-02,2.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,2025-03,27.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,2025-04,16.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,2025-05,40.0,0.0,1.0,1.0,0.0,2.5,2.5
zakuski,2025-06,18.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,2025-07,8.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,2025-08,16.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,2025-09,14.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,2025-10,21.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,2025-11,15.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,2025-12,11.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,2026-01,6.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,2026-02,7.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,2026-03,3.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,2025-03,12.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,2025-04,9.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,2025-05,8.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,2025-06,8.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,2025-07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,2025-08,3.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,2025-09,4.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,2025-10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,2025-11,7.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,2025-12,5.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,2026-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,2026-02,7.0,0.0,0.0,0.0,0.0,0.0,0.0
napitki,2025-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0
napitki,2025-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0
napitki,2025-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
napitki,2025-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0
